"Id
===
Id
===
int-c","УћГЦ
===
Name
===
string-c","УшЪі
===
Desc
===
string-c","БЛЛїЬиаЇ0
===
HitEffect0
===
int-c","БЛЛїЬиаЇ1
===
HitEffect1
===
int-c","БЛЛїЬиаЇ2
===
HitEffect2
===
int-c","гВжБЪБМф
===
StiffTime
===
float-c","ЛїЗЩЫйЖШ
===
SpeedV
===
float-c","ЛїЭЫЗНЯђ
===
DirectH
===
float-c","ЛїЭЫЫйЖШ
===
SpeedH
===
float-c","ЛїЭЫЪБМф
===
TimeH
===
float-c","ИЁПеЛїЭЫЫйЖШ
===
SpeedHSky
===
float-c"
1171,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,55,0.1,-1
1172,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,60,0.1,-1
1173,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,65,0.1,-1
1174,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,70,0.1,-1
1175,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,75,0.1,-1
1176,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,80,0.1,-1
1177,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,85,0.1,-1
1178,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,90,0.1,-1
1179,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,95,0.1,-1
1180,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,100,0.1,-1
1181,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,5,0.1,-1
1182,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,10,0.1,-1
1183,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,15,0.1,-1
1184,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,20,0.1,-1
1185,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,25,0.1,-1
1186,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,30,0.1,-1
1187,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,35,0.1,-1
1188,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,40,0.1,-1
1189,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,45,0.1,-1
1190,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,50,0.1,-1
1191,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,55,0.1,-1
1192,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,60,0.1,-1
1193,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,65,0.1,-1
1194,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,70,0.1,-1
1195,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,75,0.1,-1
1196,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,80,0.1,-1
1197,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,85,0.1,-1
1198,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,90,0.1,-1
1199,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,95,0.1,-1
1200,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,20,6,100,0.1,-1
2000,ХЎжїНЧЦеЙЅЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,3,0.1,-1
#жааФЕуЗЂЩЂЛїЭЫИЁПе,,,,,,,,,,,
2001,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,5,0.1,-1
2002,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,10,0.1,-1
2003,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,15,0.1,-1
2004,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,20,0.1,-1
2005,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,25,0.1,-1
2006,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,30,0.1,-1
2007,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,35,0.1,-1
2008,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,40,0.1,-1
2009,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,45,0.1,-1
2010,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,50,0.1,-1
2011,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,55,0.1,-1
2012,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,60,0.1,-1
2013,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,65,0.1,-1
2014,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,70,0.1,-1
2015,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,75,0.1,-1
2016,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,80,0.1,-1
2017,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,85,0.1,-1
2018,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,90,0.1,-1
2019,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,95,0.1,-1
2020,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,4,1,100,0.1,-1
2021,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,5,0.1,-1
2022,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,10,0.1,-1
2023,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,15,0.1,-1
2024,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,20,0.1,-1
2025,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,25,0.1,-1
2026,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,30,0.1,-1
2027,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,35,0.1,-1
2028,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,40,0.1,-1
2029,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,45,0.1,-1
2030,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,50,0.1,-1
2031,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,55,0.1,-1
2032,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,60,0.1,-1
2033,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,65,0.1,-1
2034,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,70,0.1,-1
2035,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,75,0.1,-1
2036,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,80,0.1,-1
2037,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,85,0.1,-1
2038,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,90,0.1,-1
2039,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,95,0.1,-1
2040,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,5,1,100,0.1,-1
2041,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,5,0.1,-1
2042,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,10,0.1,-1
2043,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,15,0.1,-1
2044,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,20,0.1,-1
2045,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,25,0.1,-1
2046,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,30,0.1,-1
2047,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,35,0.1,-1
2048,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,40,0.1,-1
2049,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,45,0.1,-1
2050,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,50,0.1,-1
2051,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,55,0.1,-1
2052,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,60,0.1,-1
2053,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,65,0.1,-1
2054,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,70,0.1,-1
2055,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,75,0.1,-1
2056,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,80,0.1,-1
2057,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,85,0.1,-1
2058,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,90,0.1,-1
2059,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,95,0.1,-1
2060,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,6,1,100,0.1,-1
2061,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,5,0.1,-1
2062,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,10,0.1,-1
2063,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,15,0.1,-1
2064,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,20,0.1,-1
2065,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,25,0.1,-1
2066,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,30,0.1,-1
2067,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,35,0.1,-1
2068,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,40,0.1,-1
2069,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,45,0.1,-1
2070,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,50,0.1,-1
2071,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,55,0.1,-1
2072,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,60,0.1,-1
2073,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,65,0.1,-1
2074,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,70,0.1,-1
2075,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,75,0.1,-1
2076,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,80,0.1,-1
2077,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,85,0.1,-1
2078,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,90,0.1,-1
2079,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,95,0.1,-1
2080,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,7,1,100,0.1,-1
2081,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,5,0.1,-1
2082,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,10,0.1,-1
2083,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,15,0.1,-1
2084,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,20,0.1,-1
2085,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,25,0.1,-1
2086,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,30,0.1,-1
2087,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,35,0.1,-1
2088,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,40,0.1,-1
2089,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,45,0.1,-1
2090,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,50,0.1,-1
2091,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,55,0.1,-1
2092,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,60,0.1,-1
2093,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,65,0.1,-1
2094,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,70,0.1,-1
2095,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,75,0.1,-1
2096,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,80,0.1,-1
2097,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,85,0.1,-1
2098,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,90,0.1,-1
2099,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,95,0.1,-1
2100,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,8,1,100,0.1,-1
2101,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,5,0.1,-1
2102,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,10,0.1,-1
2103,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,15,0.1,-1
2104,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,20,0.1,-1
2105,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,25,0.1,-1
2106,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,30,0.1,-1
2107,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,35,0.1,-1
2108,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,40,0.1,-1
2109,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,45,0.1,-1
2110,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,50,0.1,-1
2111,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,55,0.1,-1
2112,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,60,0.1,-1
2113,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,65,0.1,-1
2114,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,70,0.1,-1
2115,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,75,0.1,-1
2116,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,80,0.1,-1
2117,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,85,0.1,-1
2118,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,90,0.1,-1
2119,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,95,0.1,-1
2120,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,9,1,100,0.1,-1
2121,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,5,0.1,-1
2122,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,10,0.1,-1
2123,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,15,0.1,-1
2124,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,20,0.1,-1
2125,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,25,0.1,-1
2126,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,30,0.1,-1
2127,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,35,0.1,-1
2128,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,40,0.1,-1
2129,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,45,0.1,-1
2130,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,50,0.1,-1
2131,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,55,0.1,-1
2132,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,60,0.1,-1
2133,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,65,0.1,-1
2134,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,70,0.1,-1
2135,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,75,0.1,-1
2136,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,80,0.1,-1
2137,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,85,0.1,-1
2138,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,90,0.1,-1
2139,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,95,0.1,-1
2140,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,10,1,100,0.1,-1
2141,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,5,0.1,-1
2142,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,10,0.1,-1
2143,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,15,0.1,-1
2144,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,20,0.1,-1
2145,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,25,0.1,-1
2146,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,30,0.1,-1
2147,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,35,0.1,-1
2148,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,40,0.1,-1
2149,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,45,0.1,-1
2150,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,50,0.1,-1
2151,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,55,0.1,-1
2152,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,60,0.1,-1
2153,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,65,0.1,-1
2154,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,70,0.1,-1
2155,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,75,0.1,-1
2156,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,80,0.1,-1
2157,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,85,0.1,-1
2158,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,90,0.1,-1
2159,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,95,0.1,-1
2160,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,12,1,100,0.1,-1
2161,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,5,0.1,-1
2162,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,10,0.1,-1
2163,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,15,0.1,-1
2164,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,20,0.1,-1
2165,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,25,0.1,-1
2166,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,30,0.1,-1
2167,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,35,0.1,-1
2168,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,40,0.1,-1
2169,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,45,0.1,-1
2170,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,50,0.1,-1
2171,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,55,0.1,-1
2172,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,60,0.1,-1
2173,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,65,0.1,-1
2174,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,70,0.1,-1
2175,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,75,0.1,-1
2176,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,80,0.1,-1
2177,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,85,0.1,-1
2178,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,90,0.1,-1
2179,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,95,0.1,-1
2180,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,15,1,100,0.1,-1
2181,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,5,0.1,-1
2182,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,10,0.1,-1
2183,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,15,0.1,-1
2184,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,20,0.1,-1
2185,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,25,0.1,-1
2186,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,30,0.1,-1
2187,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,35,0.1,-1
2188,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,40,0.1,-1
2189,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,45,0.1,-1
2190,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,50,0.1,-1
2191,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,55,0.1,-1
2192,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,60,0.1,-1
2193,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,65,0.1,-1
2194,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,70,0.1,-1
2195,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,75,0.1,-1
2196,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,80,0.1,-1
2197,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,85,0.1,-1
2198,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,90,0.1,-1
2199,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,95,0.1,-1
2200,ЗЂЩЂИЁПе,ЗЂЩЂИЁПе,70014,-1,-1,0.05,20,1,100,0.1,-1
#ЬиЪтаЇЙћ,,,,,,,,,,,
