"Id
===
Id
===
int-c","名称
===
Name
===
string-c","描述
===
Desc
===
string-c","场景资源名称（Unity）
===
SceneResName
===
string-c","配置信息名称
===
ConfigName
===
string-c","背景音效
===
BGSoundID
===
int-c","boss战背景音效
===
BossSoundID
===
int-c","长度（X）
===
Length
===
float-c","宽度（Z）
===
Width
===
float-c","摄像机X轴最小坐标
===
CamareXMin
===
float-c","摄像机X轴最大坐标
===
CamareXMax
===
float-c","摄像机Z轴最小坐标
===
CamareZMin
===
float-c","摄像机Z轴最大坐标
===
CamareZMax
===
float-c","摄像机出生点X
===
CamareBornX
===
float-c","摄像机出生点Z
===
CamareBornZ
===
float-c","角色出生点X
===
PlayerBornX
===
float-c","角色出生点Y
===
PlayerBornY
===
float-c","角色出生点Z
===
PlayerBornZ
===
float-c","角色出生角度Y
===
PlayerBornRotY
===
float-c","角色初始AI
===
FightAI
===
string-c","副本持续时间（秒）
===
LastSecond
===
int-c","战斗评级对应分数0
===
ScoreLevel0
===
int-c","战斗评级对应分数1
===
ScoreLevel1
===
int-c","战斗评级对应分数2
===
ScoreLevel2
===
int-c","战斗评级对应分数3
===
ScoreLevel3
===
int-c","战斗评级对应分数4
===
ScoreLevel4
===
int-c","战斗评级对应分数5
===
ScoreLevel5
===
int-c"
104021,赴宴鸿门-精英,下邳之战,Stage_ShaMo_01,s_chapter04_stage3_Stage_ShaMo_01,15,18,50,50,-999,999,-999,999,57.232,10.042,57.232,5,10.042,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
104031,刘邦危难-精英,官渡之战,Stage_CaoYuan_04,s_chapter04_stage4_Stage_CaoYuan_04,15,18,50,50,-999,999,-999,999,47.403,21.731,47.403,3,21.731,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
104041,垓下之战-精英,赤壁之战,Stage_ShaMo_15,s_chapter04_stage5_Stage_ShaMo_15,15,18,50,50,-999,999,-999,999,73.932,9.3557,73.932,3,9.3557,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
104051,魂灭乌江-精英,汉中之战,Stage_DiXiaCheng_04,s_chapter04_stage6_Stage_DiXiaCheng_04,15,18,50,50,-999,999,-999,999,44.481,5.7669,44.481,3,5.7669,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
104061,合肥会战-精英,合肥会战,Stage_ShaMo_14,s_chapter04_stage7_Stage_ShaMo_14,15,18,50,50,-999,999,-999,999,68.603,33.123,68.603,15,33.123,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
104071,夷陵之战-精英,夷陵之战,Stage_DiXiaCheng_02,s_chapter04_stage8_Stage_DiXiaCheng_02,15,18,50,50,-999,999,-999,999,2.7066,-4.6073,2.7066,3,-4.6073,90,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#PVE玩法副本,,,,,,,,,,,,,,,,,,,,,,,,,,
201011,BOSS_1_1,BOSS_1_1,Stage_DiXiaCheng_03,PVE_1_1_1_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201012,BOSS_1_2,BOSS_1_2,Stage_DiXiaCheng_03,PVE_1_1_2_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201013,BOSS_1_3,BOSS_1_3,Stage_DiXiaCheng_03,PVE_1_1_3_Stage_DiXiaCheng_03,17,20,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201014,BOSS_1_4,BOSS_1_4,Stage_DiXiaCheng_03,PVE_1_1_4_Stage_DiXiaCheng_03,17,20,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201015,BOSS_1_5,BOSS_1_5,Stage_DiXiaCheng_03,PVE_1_1_5_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201021,BOSS_1_1,BOSS_1_1,Stage_BingYuan_02,PVE_1_2_1_Stage_BingYuan_02,15,18,50,50,-999,999,-999,999,51.171,44.452,51.171,15,44.452,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201022,BOSS_1_2,BOSS_1_2,Stage_BingYuan_02,PVE_1_2_2_Stage_BingYuan_02,15,18,50,50,-999,999,-999,999,51.171,44.452,51.171,15,44.452,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201023,BOSS_1_3,BOSS_1_3,Stage_BingYuan_02,PVE_1_2_3_Stage_BingYuan_02,17,20,50,50,-999,999,-999,999,51.171,44.452,51.171,15,44.452,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201024,BOSS_1_4,BOSS_1_4,Stage_BingYuan_02,PVE_1_2_4_Stage_BingYuan_02,17,20,50,50,-999,999,-999,999,51.171,44.452,51.171,15,44.452,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201025,BOSS_1_5,BOSS_1_5,Stage_BingYuan_02,PVE_1_2_5_Stage_BingYuan_02,15,18,50,50,-999,999,-999,999,51.171,44.452,51.171,15,44.452,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201031,BOSS_1_1,BOSS_1_1,Stage_CaoYuan_08,PVE_1_3_1_Stage_CaoYuan_08,15,18,50,50,-999,999,-999,999,38.704,20.02,38.704,1,20.02,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201032,BOSS_1_2,BOSS_1_2,Stage_CaoYuan_08,PVE_1_3_2_Stage_CaoYuan_08,15,18,50,50,-999,999,-999,999,38.704,20.02,38.704,1,20.02,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201033,BOSS_1_3,BOSS_1_3,Stage_CaoYuan_08,PVE_1_3_3_Stage_CaoYuan_08,17,20,50,50,-999,999,-999,999,38.704,20.02,38.704,1,20.02,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201034,BOSS_1_4,BOSS_1_4,Stage_CaoYuan_08,PVE_1_3_4_Stage_CaoYuan_08,17,20,50,50,-999,999,-999,999,38.704,20.02,38.704,1,20.02,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201035,BOSS_1_5,BOSS_1_5,Stage_CaoYuan_08,PVE_1_3_5_Stage_CaoYuan_08,15,18,50,50,-999,999,-999,999,38.704,20.02,38.704,1,20.02,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201041,BOSS_1_1,BOSS_1_1,Stage_ShaMo_07,PVE_1_4_1_Stage_ShaMo_07,15,18,50,50,-999,999,-999,999,20.923,25.618,20.923,0,25.618,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201042,BOSS_1_2,BOSS_1_2,Stage_ShaMo_07,PVE_1_4_2_Stage_ShaMo_07,15,18,50,50,-999,999,-999,999,20.923,25.618,20.923,0,25.618,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201043,BOSS_1_3,BOSS_1_3,Stage_ShaMo_07,PVE_1_4_3_Stage_ShaMo_07,17,20,50,50,-999,999,-999,999,20.923,25.618,20.923,0,25.618,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201044,BOSS_1_4,BOSS_1_4,Stage_ShaMo_07,PVE_1_4_4_Stage_ShaMo_07,17,20,50,50,-999,999,-999,999,20.923,25.618,20.923,0,25.618,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201045,BOSS_1_5,BOSS_1_5,Stage_ShaMo_07,PVE_1_4_5_Stage_ShaMo_07,15,18,50,50,-999,999,-999,999,20.923,25.618,20.923,0,25.618,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201051,BOSS_1_1,BOSS_1_1,Stage_BingYuan_05,PVE_1_5_1_Stage_BingYuan_05,15,18,50,50,-999,999,-999,999,75.223,54.321,75.223,3,54.321,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201052,BOSS_1_2,BOSS_1_2,Stage_BingYuan_05,PVE_1_5_2_Stage_BingYuan_05,15,18,50,50,-999,999,-999,999,75.223,54.321,75.223,3,54.321,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201053,BOSS_1_3,BOSS_1_3,Stage_BingYuan_05,PVE_1_5_3_Stage_BingYuan_05,17,20,50,50,-999,999,-999,999,75.223,54.321,75.223,3,54.321,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201054,BOSS_1_4,BOSS_1_4,Stage_BingYuan_05,PVE_1_5_4_Stage_BingYuan_05,17,20,50,50,-999,999,-999,999,75.223,54.321,75.223,3,54.321,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201055,BOSS_1_5,BOSS_1_5,Stage_BingYuan_05,PVE_1_5_5_Stage_BingYuan_05,15,18,50,50,-999,999,-999,999,75.223,54.321,75.223,3,54.321,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201061,BOSS_1_1,BOSS_1_1,Stage_CaoYuan_03,PVE_1_6_1_Stage_CaoYuan_03,15,18,50,50,-999,999,-999,999,31.695,33.088,31.695,4,33.088,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201062,BOSS_1_2,BOSS_1_2,Stage_CaoYuan_03,PVE_1_6_2_Stage_CaoYuan_03,15,18,50,50,-999,999,-999,999,31.695,33.088,31.695,4,33.088,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201063,BOSS_1_3,BOSS_1_3,Stage_CaoYuan_03,PVE_1_6_3_Stage_CaoYuan_03,17,20,50,50,-999,999,-999,999,31.695,33.088,31.695,4,33.088,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201064,BOSS_1_4,BOSS_1_4,Stage_CaoYuan_03,PVE_1_6_4_Stage_CaoYuan_03,17,20,50,50,-999,999,-999,999,31.695,33.088,31.695,4,33.088,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201065,BOSS_1_5,BOSS_1_5,Stage_CaoYuan_03,PVE_1_6_5_Stage_CaoYuan_03,15,18,50,50,-999,999,-999,999,31.695,33.088,31.695,4,33.088,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201071,BOSS_1_1,BOSS_1_1,Stage_DiXiaCheng_03,PVE_1_7_1_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201072,BOSS_1_2,BOSS_1_2,Stage_DiXiaCheng_03,PVE_1_7_2_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201073,BOSS_1_3,BOSS_1_3,Stage_DiXiaCheng_03,PVE_1_7_3_Stage_DiXiaCheng_03,17,20,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201074,BOSS_1_4,BOSS_1_4,Stage_DiXiaCheng_03,PVE_1_7_4_Stage_DiXiaCheng_03,17,20,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
201075,BOSS_1_5,BOSS_1_5,Stage_DiXiaCheng_03,PVE_1_7_5_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,61.539,69.232,61.539,-3,69.232,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202011,精英_1_1,精英_1_1,Stage_ShaMo_02,PVE_2_1_1_Stage_ShaMo_02,15,18,50,50,-999,999,-999,999,28.652,9.3629,28.652,4,9.3629,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202012,精英_1_2,精英_1_2,Stage_ShaMo_02,PVE_2_1_2_Stage_ShaMo_02,15,18,50,50,-999,999,-999,999,28.652,9.3629,28.652,4,9.3629,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202013,精英_1_3,精英_1_3,Stage_ShaMo_02,PVE_2_1_3_Stage_ShaMo_02,15,18,50,50,-999,999,-999,999,28.652,9.3629,28.652,4,9.3629,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202014,精英_1_4,精英_1_4,Stage_ShaMo_02,PVE_2_1_4_Stage_ShaMo_02,17,20,50,50,-999,999,-999,999,28.652,9.3629,28.652,4,9.3629,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202015,精英_1_5,精英_1_5,Stage_ShaMo_02,PVE_2_1_5_Stage_ShaMo_02,17,20,50,50,-999,999,-999,999,28.652,9.3629,28.652,4,9.3629,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202021,精英_1_1,精英_1_1,Stage_BingYuan_01,PVE_2_2_1_Stage_BingYuan_01,15,18,50,50,-999,999,-999,999,35.884,15.501,35.884,8,15.501,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202022,精英_1_2,精英_1_2,Stage_BingYuan_01,PVE_2_2_2_Stage_BingYuan_01,15,18,50,50,-999,999,-999,999,35.884,15.501,35.884,8,15.501,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202023,精英_1_3,精英_1_3,Stage_BingYuan_01,PVE_2_2_3_Stage_BingYuan_01,15,18,50,50,-999,999,-999,999,35.884,15.501,35.884,8,15.501,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202024,精英_1_4,精英_1_4,Stage_BingYuan_01,PVE_2_2_4_Stage_BingYuan_01,17,20,50,50,-999,999,-999,999,35.884,15.501,35.884,8,15.501,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202025,精英_1_5,精英_1_5,Stage_BingYuan_01,PVE_2_2_5_Stage_BingYuan_01,17,20,50,50,-999,999,-999,999,35.884,15.501,35.884,8,15.501,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202031,精英_1_1,精英_1_1,Stage_CaoYuan_02,PVE_2_3_1_Stage_CaoYuan_02,15,18,50,50,-999,999,-999,999,16.316,6.2292,16.316,3,6.2292,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202032,精英_1_2,精英_1_2,Stage_CaoYuan_02,PVE_2_3_2_Stage_CaoYuan_02,15,18,50,50,-999,999,-999,999,16.316,6.2292,16.316,3,6.2292,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202033,精英_1_3,精英_1_3,Stage_CaoYuan_02,PVE_2_3_3_Stage_CaoYuan_02,15,18,50,50,-999,999,-999,999,16.316,6.2292,16.316,3,6.2292,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202034,精英_1_4,精英_1_4,Stage_CaoYuan_02,PVE_2_3_4_Stage_CaoYuan_02,17,20,50,50,-999,999,-999,999,16.316,6.2292,16.316,3,6.2292,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202035,精英_1_5,精英_1_5,Stage_CaoYuan_02,PVE_2_3_5_Stage_CaoYuan_02,17,20,50,50,-999,999,-999,999,16.316,6.2292,16.316,3,6.2292,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202041,精英_1_1,精英_1_1,Stage_DiXiaCheng_04,PVE_2_4_1_Stage_DiXiaCheng_04,15,18,50,50,-999,999,-999,999,54.695,43.619,54.695,-1,43.619,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202042,精英_1_2,精英_1_2,Stage_DiXiaCheng_04,PVE_2_4_2_Stage_DiXiaCheng_04,15,18,50,50,-999,999,-999,999,54.695,43.619,54.695,-1,43.619,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202043,精英_1_3,精英_1_3,Stage_DiXiaCheng_04,PVE_2_4_3_Stage_DiXiaCheng_04,15,18,50,50,-999,999,-999,999,54.695,43.619,54.695,-1,43.619,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202044,精英_1_4,精英_1_4,Stage_DiXiaCheng_04,PVE_2_4_4_Stage_DiXiaCheng_04,17,20,50,50,-999,999,-999,999,54.695,43.619,54.695,-1,43.619,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
202045,精英_1_5,精英_1_5,Stage_DiXiaCheng_04,PVE_2_4_5_Stage_DiXiaCheng_04,17,20,50,50,-999,999,-999,999,54.695,43.619,54.695,-1,43.619,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203011,无双乱斗_1_1,无双乱斗_1_1,Stage_JingJiChang,PVE_3_1_1_Stage_JingJiChang,15,18,50,50,-999,999,-999,999,35.031,12.589,35.031,1,12.589,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203012,无双乱斗_1_2,无双乱斗_1_2,Stage_JingJiChang,PVE_3_1_2_Stage_JingJiChang,15,18,50,50,-999,999,-999,999,35.031,12.589,35.031,1,12.589,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203013,无双乱斗_1_3,无双乱斗_1_3,Stage_JingJiChang,PVE_3_1_3_Stage_JingJiChang,17,20,50,50,-999,999,-999,999,35.031,12.589,35.031,1,12.589,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203014,无双乱斗_1_4,无双乱斗_1_4,Stage_JingJiChang,PVE_3_1_4_Stage_JingJiChang,17,20,50,50,-999,999,-999,999,35.031,12.589,35.031,1,12.589,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203015,无双乱斗_1_5,无双乱斗_1_5,Stage_JingJiChang,PVE_3_1_5_Stage_JingJiChang,15,18,50,50,-999,999,-999,999,35.031,12.589,35.031,1,12.589,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203021,无双乱斗_1_1,无双乱斗_1_1,Stage_01_02,PVE_3_2_1_Stage_01_02,15,18,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203022,无双乱斗_1_2,无双乱斗_1_2,Stage_01_02,PVE_3_2_2_Stage_01_02,15,18,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203023,无双乱斗_1_3,无双乱斗_1_3,Stage_01_02,PVE_3_2_3_Stage_01_02,17,20,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203024,无双乱斗_1_4,无双乱斗_1_4,Stage_01_02,PVE_3_2_4_Stage_01_02,17,20,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203025,无双乱斗_1_5,无双乱斗_1_5,Stage_01_02,PVE_3_2_5_Stage_01_02,15,18,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203031,无双乱斗_1_1,无双乱斗_1_1,Stage_01_01,PVE_3_3_1_Stage_01_01,15,18,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203032,无双乱斗_1_2,无双乱斗_1_2,Stage_01_01,PVE_3_3_2_Stage_01_01,15,18,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203033,无双乱斗_1_3,无双乱斗_1_3,Stage_01_01,PVE_3_3_3_Stage_01_01,17,20,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203034,无双乱斗_1_4,无双乱斗_1_4,Stage_01_01,PVE_3_3_4_Stage_01_01,17,20,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
203035,无双乱斗_1_5,无双乱斗_1_5,Stage_01_01,PVE_3_3_5_Stage_01_01,15,18,50,50,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#特殊/活动,,,,,,,,,,,,,,,,,,,,,,,,,,
9000000,竞技场,PK,Stage_JingJiChang,pvp,15,18,50,50,15,57,9,29,18,19,16,0.3,19,90,AIPKTest2,90,0,1,2,3,4,5
9000001,夺宝活动,PK,Stage_01_01,pvp,15,18,50,50,-999,999,-999,999,29.6,8.6,32.4,2.1,4,45,AIPKTest2,600,0,1050,4200,8400,12600,15750
9999999,主城,MainTown,Stage_ZhuCheng_02,mainscene,14,18,50,50,-999,999,-999,999,50,37.6,50,5,43,0,-1,300,0,525,2100,4200,6300,7875
