"Id
===
Id
===
int-c","特效方案名称
===
Name
===
string-c","特效方案描述
===
Desc
===
string-c","特效名称
===
EffectName
===
string-c","特效出生点名称
===
PointName
===
string-c","特效是否绑定
===
IsBand
===
bool-c","特效持续（剪辑播放比率）
===
LastFrame
===
float-c","特效持续时间（秒）
===
LastTime
===
float-c","特效持续（与招式同步）
===
LastAsAnimation
===
bool-c","重播间隔（持续时间内）
===
ReplayInterval
===
float-c","播放速度
===
Speed
===
float-c","播放速度是否受攻击速度影响
===
SpeedAsAnimation
===
bool-c","播放速度是否会暂停
===
StopAsAnimation
===
bool-c"
3720000,吸引仇恨,FixP2,Effect_Hero_DianWei_02_Buff_01_A,FixP2,1,-1,4,1,-1,1,0,1
3730000,飞龙入斧,FixP2,Effect_Hero_DianWei_01_Skill_01_A_FixP2,FixP2,1,-1,5,1,-1,1,1,1
#闻仲,,,,,,,,,,,,
3800000,普通攻击,FixP2,effect_hero_wenzhong_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3830000,冰火重天,FixP2,effect_hero_wenzhong_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#鲁班,,,,,,,,,,,,
3920000,爆裂机甲,sole,effect_hero_luban_01_skill_01_a_sole,sole,1,-1,5,1,-1,1,1,1
3930000,燃烧弹,Etc01,effect_hero_luban_01_skill_01_a_etc01,Etc01,1,-1,3,1,-1,1,1,1
#狄仁杰,,,,,,,,,,,,
4000000,普通攻击,FixP2,effect_hero_direnjie_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4020000,割裂,FixP2,effect_hero_direnjie_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4030000,暴击加成,FixP2,Effect_ZD_buff,FixP2,1,-1,1,1,-1,1,0,1
#廉颇,,,,,,,,,,,,
4100000,普通攻击,FixP2,effect_hero_lianpo_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4120000,土爆,FixP2,effect_hero_lianpo_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4130000,沙化护盾,FixP2,Effect_Buff_FaShuFangYu_01_FixP2,FixP2,1,-1,2,1,-1,1,0,1
4140000,暴怒尘土,FixP2,Effect_ShiFa_Tu_01,FixP2,1,-1,1,1,-1,1,0,1
#赵云,,,,,,,,,,,,
4200000,普通攻击,FixP2,effect_hero_zhaoyun_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4220000,技能攻击,FixP2,effect_hero_zhaoyun_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4240000,技能攻击2,FixP2,effect_hero_zhaoyun_01_skill_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#曹操,,,,,,,,,,,,
4300000,普通攻击,FixP2,effect_hero_caocao_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4320000,威慑,FixP2,Effect_Hero_CaoCao_01_Buff_01_A_FixP2,FixP2,1,-1,1.5,1,-1,1,1,1
4330000,风沙掠影,FixP2,effect_hero_caocao_01_skill_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4340000,挥舞刀影,FixP2,effect_hero_caocao_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4350000,技能攻击3,FixP2,effect_hero_caocao_01_skill_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#荆轲,,,,,,,,,,,,
4400000,普通攻击,FixP2,effect_hero_JingKe_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
4430000,技能攻击1,sole,Effect_Hero_JingKe_01_Skill_01_A_sloe,sole,1,-1,5,1,-1,1,1,1
4420000,技能攻击3-1,sole,Effect_Hero_JingKe_01_Skill_03_A_sloe,sole,1,-1,5,1,-1,1,1,1
4440000,技能攻击3-2,FixP2,Effect_ZD_buff,FixP2,1,-1,2,1,-1,1,0,1
#女性武将,,,,,,,,,,,,
#妲己,,,,,,,,,,,,
8000000,普通攻击,FixP2,effect_hero_daji_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8020000,妖能四起,FixP2,Effect_Hero_DaJi_01_Buff_01_A_FixP2,FixP2,1,-1,3,1,-1,1,1,1
8040000,花拳,FixP2,effect_hero_daji_01_skill_01_start_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8040001,花拳,sole,effect_hero_daji_01_skill_01_hit_a_sole,sole,1,-1,5,1,-1,1,1,1
8040002,花拳,FixP2,effect_hero_daji_01_skill_01_end_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#貂蝉,,,,,,,,,,,,
8100000,普通攻击,FixP2,effect_hero_diaochan_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8120000,生命恢复,FixP2,Effect_Buff_ZhuangTaiZengJia_02_FixP2,FixP2,1,-1,1,1,-1,1,0,1
8130000,冰封,sole,effect_chan_chongci_sole,sole,1,-1,3,1,-1,1,1,1
8130001,技能起手,FixP2,effect_hero_diaochan_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8140000,旋转冰锥,FixP2,effect_hero_diaochan_01_skill_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#西施,,,,,,,,,,,,
8200000,普通攻击,FixP2,effect_hero_xishi_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8220000,风沙阻扰,FixP2,effect_hero_xishi_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8230000,沙暴,FixP2,Effect_Hero_XiShi_01_Buff_01_A_FixP2,FixP2,1,-1,5,1,-1,1,1,1
#杨贵妃,,,,,,,,,,,,
8300000,普通攻击,FixP2,effect_hero_yangguifei_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8320000,寒冰落,FixP2,effect_hero_yangguifei_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8320001,寒冰落,FixP2,effect_hero_yangguifei_01_skill_02_a_fixp2,FixP2,1,-1,3,0,-1,1,1,1
8320002,寒冰落,sole,Effect_Hero_YangGuiFei_01_Skill_01_A_sole,sole,1,-1,5,1,-1,1,1,1
8330000,凤胆,FixP2,effect_hero_yangguifei_01_skill_02_a_fixp2,FixP2,1,-1,3,0,-1,1,1,1
#武则天,,,,,,,,,,,,
8400000,普通攻击,FixP2,effect_hero_wuzetian_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8420000,凤凰涅槃,FixP2,effect_hero_wuzetian_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
8430000,生命光环,FixP2,Effect_Buff_ZhuangTaiZengJia_02_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
8440000,燃烧身躯,FixP2,Effect_Buff_ZhuangTaiZengJia_01_FixP2,FixP2,1,-1,5,1,-1,1,1,1
8440001,燃烧身躯,FixP2,Effect_Buff_ZhuoShao_01_FixP2,FixP2,1,-1,10,0,0,0.2,0,0
#怪物武将,,,,,,,,,,,,
#火麒麟,,,,,,,,,,,,
12000000,普通攻击,FixP2,effect_mon_huoqilin_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
12020000,技能攻击,FixP1,effect_mon_huoqilin_01_skill_01_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
#水麒麟,,,,,,,,,,,,
12100000,普通攻击,FixP2,effect_mon_shuiqilin_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
12120000,技能攻击,FixP1,effect_mon_shuiqilin_01_skill_01_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
#墨麒麟,,,,,,,,,,,,
12200000,普通攻击,FixP2,effect_mon_moqilin_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
12220000,技能攻击,FixP1,effect_mon_moqilin_01_skill_01_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
