"Id
===
Id
===
int-c","名字
===
Name
===
string-c","描述
===
Desc
===
string-c","图像512
===
Icon512
===
string-c","图像256
===
Icon256
===
string-c","图像128
===
Icon128
===
string-c","图像64
===
Icon64
===
string-c","图像32
===
Icon32
===
string-c","模型主题文件
===
ModelBodyFile
===
string-c","模型网格文件
===
ModelMeshFile
===
string-c","材质文件0
===
MaterialFiles0
===
string-c","材质文件1
===
MaterialFiles1
===
string-c","材质文件2
===
MaterialFiles2
===
string-c","特效0.特效挂载点
===
Effects0.Point
===
string-c","特效0.特效文件
===
Effects0.File
===
string-c","特效1.特效挂载点
===
Effects1.Point
===
string-c","特效1.特效文件
===
Effects1.File
===
string-c","特效2.特效挂载点
===
Effects2.Point
===
string-c","特效2.特效文件
===
Effects2.File
===
string-c","缩放百分比
===
ScalePercent
===
float-c","模型长度
===
Lenght
===
float-c","模型宽度
===
Width
===
float-c","模型高度
===
Hight
===
float-c","动作ID
===
ActionId
===
int-c","移动半径
===
NavRange
===
float-c","碰撞半径
===
ColliderRange
===
float-c","碰撞高度
===
ColliderHight
===
float-c","被击音效0
===
BeHitSound0
===
int-c","被击音效1
===
BeHitSound1
===
int-c","被击音效2
===
BeHitSound2
===
int-c","被击音效3
===
BeHitSound3
===
int-c","行走音效
===
MoveSound
===
int-c"
1184,冥皇石34,冥皇石34,Gem_3_34,Gem_3_34,Gem_3_34,Gem_3_34,Gem_3_34,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1185,冥皇石35,冥皇石35,Gem_3_35,Gem_3_35,Gem_3_35,Gem_3_35,Gem_3_35,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1186,冥皇石36,冥皇石36,Gem_3_36,Gem_3_36,Gem_3_36,Gem_3_36,Gem_3_36,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1187,冥皇石37,冥皇石37,Gem_3_37,Gem_3_37,Gem_3_37,Gem_3_37,Gem_3_37,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1188,冥皇石38,冥皇石38,Gem_3_38,Gem_3_38,Gem_3_38,Gem_3_38,Gem_3_38,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1189,冥皇石39,冥皇石39,Gem_3_39,Gem_3_39,Gem_3_39,Gem_3_39,Gem_3_39,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1190,冥皇石40,冥皇石40,Gem_3_40,Gem_3_40,Gem_3_40,Gem_3_40,Gem_3_40,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1191,冥皇石41,冥皇石41,Gem_3_41,Gem_3_41,Gem_3_41,Gem_3_41,Gem_3_41,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1192,冥皇石42,冥皇石42,Gem_3_42,Gem_3_42,Gem_3_42,Gem_3_42,Gem_3_42,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1193,冥皇石43,冥皇石43,Gem_3_43,Gem_3_43,Gem_3_43,Gem_3_43,Gem_3_43,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1194,冥皇石44,冥皇石44,Gem_3_44,Gem_3_44,Gem_3_44,Gem_3_44,Gem_3_44,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1195,冥皇石45,冥皇石45,Gem_3_45,Gem_3_45,Gem_3_45,Gem_3_45,Gem_3_45,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1196,冥皇石46,冥皇石46,Gem_3_46,Gem_3_46,Gem_3_46,Gem_3_46,Gem_3_46,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1197,冥皇石47,冥皇石47,Gem_3_47,Gem_3_47,Gem_3_47,Gem_3_47,Gem_3_47,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1198,冥皇石48,冥皇石48,Gem_3_48,Gem_3_48,Gem_3_48,Gem_3_48,Gem_3_48,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1199,冥皇石49,冥皇石49,Gem_3_49,Gem_3_49,Gem_3_49,Gem_3_49,Gem_3_49,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1200,冥皇石50,冥皇石50,Gem_3_50,Gem_3_50,Gem_3_50,Gem_3_50,Gem_3_50,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1201,申公豹,申公豹,Hero_000,Hero_000,Hero_000,Hero_000,Hero_000,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1202,纣王,纣王,Hero_001,Hero_001,Hero_001,Hero_001,Hero_001,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1203,姜子牙,姜子牙,Hero_002,Hero_002,Hero_002,Hero_002,Hero_002,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1204,杨戬,杨戬,Hero_003,Hero_003,Hero_003,Hero_003,Hero_003,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1205,雷震子,雷震子,Hero_004,Hero_004,Hero_004,Hero_004,Hero_004,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1206,白起,白起,Hero_005,Hero_005,Hero_005,Hero_005,Hero_005,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1207,哪吒,哪吒,Hero_006,Hero_006,Hero_006,Hero_006,Hero_006,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1208,典韦,典韦,Hero_007,Hero_007,Hero_007,Hero_007,Hero_007,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1209,文仲,文仲,Hero_008,Hero_008,Hero_008,Hero_008,Hero_008,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1210,鲁班,鲁班,Hero_009,Hero_009,Hero_009,Hero_009,Hero_009,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1211,狄仁杰,狄仁杰,Hero_010,Hero_010,Hero_010,Hero_010,Hero_010,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1212,廉颇,廉颇,Hero_011,Hero_011,Hero_011,Hero_011,Hero_011,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1213,赵云,赵云,Hero_012,Hero_012,Hero_012,Hero_012,Hero_012,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1214,曹操,曹操,Hero_013,Hero_013,Hero_013,Hero_013,Hero_013,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1215,妲己,妲己,Hero_100,Hero_100,Hero_100,Hero_100,Hero_100,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1216,貂蝉,貂蝉,Hero_101,Hero_101,Hero_101,Hero_101,Hero_101,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1217,西施,西施,Hero_102,Hero_102,Hero_102,Hero_102,Hero_102,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1218,杨贵妃,杨贵妃,Hero_103,Hero_103,Hero_103,Hero_103,Hero_103,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1219,武则天,武则天,Hero_104,Hero_104,Hero_104,Hero_104,Hero_104,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1220,铁力木,铁力木,Stuff_000,Stuff_000,Stuff_000,Stuff_000,Stuff_000,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1221,桃木,桃木,Stuff_001,Stuff_001,Stuff_001,Stuff_001,Stuff_001,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1222,樟木,樟木,Stuff_002,Stuff_002,Stuff_002,Stuff_002,Stuff_002,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1223,紫檀,紫檀,Stuff_003,Stuff_003,Stuff_003,Stuff_003,Stuff_003,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1224,楠木,楠木,Stuff_004,Stuff_004,Stuff_004,Stuff_004,Stuff_004,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1225,木棉,木棉,Stuff_005,Stuff_005,Stuff_005,Stuff_005,Stuff_005,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1226,绢布,绢布,Stuff_006,Stuff_006,Stuff_006,Stuff_006,Stuff_006,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1227,绫罗,绫罗,Stuff_007,Stuff_007,Stuff_007,Stuff_007,Stuff_007,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1228,绸缎,绸缎,Stuff_008,Stuff_008,Stuff_008,Stuff_008,Stuff_008,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1229,缣帛,缣帛,Stuff_009,Stuff_009,Stuff_009,Stuff_009,Stuff_009,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1230,烂石,烂石,Stuff_010,Stuff_010,Stuff_010,Stuff_010,Stuff_010,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1231,斜石,斜石,Stuff_011,Stuff_011,Stuff_011,Stuff_011,Stuff_011,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1232,松石,松石,Stuff_012,Stuff_012,Stuff_012,Stuff_012,Stuff_012,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1233,银沙,银沙,Stuff_013,Stuff_013,Stuff_013,Stuff_013,Stuff_013,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1234,月锡石,月锡石,Stuff_014,Stuff_014,Stuff_014,Stuff_014,Stuff_014,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1235,铁矿石,铁矿石,Stuff_015,Stuff_015,Stuff_015,Stuff_015,Stuff_015,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1236,铜矿石,铜矿石,Stuff_016,Stuff_016,Stuff_016,Stuff_016,Stuff_016,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1237,银矿石,银矿石,Stuff_017,Stuff_017,Stuff_017,Stuff_017,Stuff_017,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1238,金矿石,金矿石,Stuff_018,Stuff_018,Stuff_018,Stuff_018,Stuff_018,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1239,翡翠,翡翠,Stuff_019,Stuff_019,Stuff_019,Stuff_019,Stuff_019,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1240,粗线,粗线,Stuff_020,Stuff_020,Stuff_020,Stuff_020,Stuff_020,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1241,细线,细线,Stuff_021,Stuff_021,Stuff_021,Stuff_021,Stuff_021,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1242,百花线,百花线,Stuff_022,Stuff_022,Stuff_022,Stuff_022,Stuff_022,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1243,金丝线,金丝线,Stuff_023,Stuff_023,Stuff_023,Stuff_023,Stuff_023,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1244,蚕丝线,蚕丝线,Stuff_024,Stuff_024,Stuff_024,Stuff_024,Stuff_024,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1245,清水,清水,Stuff_025,Stuff_025,Stuff_025,Stuff_025,Stuff_025,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1246,铜水,铜水,Stuff_026,Stuff_026,Stuff_026,Stuff_026,Stuff_026,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1247,山泉水,山泉水,Stuff_027,Stuff_027,Stuff_027,Stuff_027,Stuff_027,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1248,文荣精华,文荣精华,Stuff_028,Stuff_028,Stuff_028,Stuff_028,Stuff_028,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1249,罗汉精魄,罗汉精魄,Stuff_029,Stuff_029,Stuff_029,Stuff_029,Stuff_029,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1250,明金,明金,Stuff_030,Stuff_030,Stuff_030,Stuff_030,Stuff_030,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1251,销金,销金,Stuff_031,Stuff_031,Stuff_031,Stuff_031,Stuff_031,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1252,镂金,镂金,Stuff_032,Stuff_032,Stuff_032,Stuff_032,Stuff_032,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1253,盘金,盘金,Stuff_033,Stuff_033,Stuff_033,Stuff_033,Stuff_033,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1254,织金,织金,Stuff_034,Stuff_034,Stuff_034,Stuff_034,Stuff_034,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1255,皂斗,皂斗,Stuff_035,Stuff_035,Stuff_035,Stuff_035,Stuff_035,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1256,栀子,栀子,Stuff_036,Stuff_036,Stuff_036,Stuff_036,Stuff_036,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1257,蓝草,蓝草,Stuff_037,Stuff_037,Stuff_037,Stuff_037,Stuff_037,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1258,紫草,紫草,Stuff_038,Stuff_038,Stuff_038,Stuff_038,Stuff_038,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1259,茜草,茜草,Stuff_039,Stuff_039,Stuff_039,Stuff_039,Stuff_039,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1260,武器模具,武器模具,Stuff_040,Stuff_040,Stuff_040,Stuff_040,Stuff_040,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1261,武器精华,武器精华,Stuff_041,Stuff_041,Stuff_041,Stuff_041,Stuff_041,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1262,武器魂灵,武器魂灵,Stuff_042,Stuff_042,Stuff_042,Stuff_042,Stuff_042,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1263,衣服模具,衣服模具,Stuff_043,Stuff_043,Stuff_043,Stuff_043,Stuff_043,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1264,衣服精华,衣服精华,Stuff_044,Stuff_044,Stuff_044,Stuff_044,Stuff_044,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1265,衣服魂灵,衣服魂灵,Stuff_045,Stuff_045,Stuff_045,Stuff_045,Stuff_045,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1266,项链模具,项链模具,Stuff_046,Stuff_046,Stuff_046,Stuff_046,Stuff_046,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1267,项链精华,项链精华,Stuff_047,Stuff_047,Stuff_047,Stuff_047,Stuff_047,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1268,项链魂灵,项链魂灵,Stuff_048,Stuff_048,Stuff_048,Stuff_048,Stuff_048,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1269,戒指模具,戒指模具,Stuff_049,Stuff_049,Stuff_049,Stuff_049,Stuff_049,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1270,戒指精华,戒指精华,Stuff_050,Stuff_050,Stuff_050,Stuff_050,Stuff_050,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1271,戒指魂灵,戒指魂灵,Stuff_051,Stuff_051,Stuff_051,Stuff_051,Stuff_051,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1272,宝具模具,宝具模具,Stuff_052,Stuff_052,Stuff_052,Stuff_052,Stuff_052,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1273,宝具精华,宝具精华,Stuff_053,Stuff_053,Stuff_053,Stuff_053,Stuff_053,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1274,宝具魂灵,宝具魂灵,Stuff_054,Stuff_054,Stuff_054,Stuff_054,Stuff_054,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1275,武将经验1,武将经验1,ExpItem_001,ExpItem_001,ExpItem_001,ExpItem_001,ExpItem_001,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1276,武将经验2,武将经验2,ExpItem_002,ExpItem_002,ExpItem_002,ExpItem_002,ExpItem_002,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1277,武将经验3,武将经验3,ExpItem_003,ExpItem_003,ExpItem_003,ExpItem_003,ExpItem_003,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1278,武将经验4,武将经验4,ExpItem_004,ExpItem_004,ExpItem_004,ExpItem_004,ExpItem_004,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1279,武将经验5,武将经验5,ExpItem_005,ExpItem_005,ExpItem_005,ExpItem_005,ExpItem_005,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1280,武将经验6,武将经验6,ExpItem_006,ExpItem_006,ExpItem_006,ExpItem_006,ExpItem_006,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1281,武将经验7,武将经验7,ExpItem_007,ExpItem_007,ExpItem_007,ExpItem_007,ExpItem_007,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1282,武将经验8,武将经验8,ExpItem_008,ExpItem_008,ExpItem_008,ExpItem_008,ExpItem_008,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1283,武将经验9,武将经验9,ExpItem_009,ExpItem_009,ExpItem_009,ExpItem_009,ExpItem_009,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1284,武将经验10,武将经验10,ExpItem_010,ExpItem_010,ExpItem_010,ExpItem_010,ExpItem_010,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1285,武将经验11,武将经验11,ExpItem_011,ExpItem_011,ExpItem_011,ExpItem_011,ExpItem_011,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1286,武将经验12,武将经验12,ExpItem_012,ExpItem_012,ExpItem_012,ExpItem_012,ExpItem_012,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1287,武将经验13,武将经验13,ExpItem_013,ExpItem_013,ExpItem_013,ExpItem_013,ExpItem_013,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1288,武将经验14,武将经验14,ExpItem_014,ExpItem_014,ExpItem_014,ExpItem_014,ExpItem_014,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1289,武将经验15,武将经验15,ExpItem_015,ExpItem_015,ExpItem_015,ExpItem_015,ExpItem_015,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1290,武将经验16,武将经验16,ExpItem_016,ExpItem_016,ExpItem_016,ExpItem_016,ExpItem_016,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
